№ п/п;Товар;Обозначение;Модификация;Кол-во;На заказы;Поставщик
68;Балка;ТШАГ.745512.039-Л;<>;36; ;ХРОМОС Инжиниринг
69;Балка;ТШАГ.745512.034-Л;<>;9; ;ХРОМОС Инжиниринг
70;Балка;ТШАГ.745512.044-01-Л;<>;39; ;ХРОМОС Инжиниринг
71;Балка;ТШАГ.745512.013;<>;20; ;ХРОМОС Инжиниринг
72;Балка;ТШАГ.745512.044-01;<>;3; ;ХРОМОС Инжиниринг
73;Балка;ТШАГ.745512.044-Л;<>;9; ;ХРОМОС Инжиниринг
74;Балка;НГКШ.745532.153;<>;3; ;ХРОМОС Инжиниринг
75;Балка;ТШАГ.745512.039;<>;7; ;ХРОМОС Инжиниринг
76;Балка;ТШАГ.745512.045;<>;497; ;ХРОМОС Инжиниринг
77;Балка;НГКШ.745512.2032-л;<>;4; ;ХРОМОС Инжиниринг
78;Балка;ТШАГ.745512.037-Л;<>;1; ;ХРОМОС Инжиниринг
79;Балка;НГКШ.745418.024;<>;28; ;ХРОМОС Инжиниринг
80;Балка;НГКШ.745418.023;<>;28; ;ХРОМОС Инжиниринг
81;Балка;НГКШ.745512.2087-Л;<>;2; ;ХРОМОС Инжиниринг
82;Балка;НГКШ.745512.1908-л;<>;16; ;ХРОМОС Инжиниринг
83;Балка;ВЭ 647.1-03.000;<>;6; ;Электротехника (МЕХ.ЦЕХ)
84;Балка;ВЭ 261.1-02.000;<>;7; ;Электротехника (МЕХ.ЦЕХ)
85;Балка;ВЭ 261.1-03.000;<>;7; ;Электротехника (МЕХ.ЦЕХ)
86;Балка;ВЭ 647.1-02.000;<>;6; ;Электротехника (МЕХ.ЦЕХ)
87;Балка;ТШОЗ.745521.012;<>;6; ;Электротехника (МЕХ.ЦЕХ)
88;Балка;ТШОЗ.745521.012-01;<>;6; ;Электротехника (МЕХ.ЦЕХ)
89;Балка;ТШОЗ.745522.004;<>;6; ;Электротехника (МЕХ.ЦЕХ)
90;Балка 600;НГКШ.745512.1819;<>;2; ;ХРОМОС Инжиниринг
91;Балка 600;НГКШ.745512.1819-Л;<>;93; ;ХРОМОС Инжиниринг
92;Балка 800;НГКШ.745512.1819-01;<>;38; ;ХРОМОС Инжиниринг
93;Балка 800;НГКШ.745512.1819-01-Л;<>;95; ;ХРОМОС Инжиниринг
94;Балка вертикальная;НГКШ.745418.711-Л;<>;8; ;ХРОМОС Инжиниринг
95;Балка вертикальная;НГКШ.745418.711-01-Л;<>;2; ;ХРОМОС Инжиниринг
96;Балка изоляторов;НГКШ.745512.1807;<>;6; ;ПМК ООО
97;Балка изоляторов;НГКШ.745512.2171;<>;2; ;ПМК ООО
98;Балка клеммника;НГКШ.745512.516-Л;<>;2; ;ХРОМОС Инжиниринг
99;Балка клеммника;НГКШ.745512.516;<>;1; ;ХРОМОС Инжиниринг
100;Балка основания;НГКШ.301341.1154;<>;4; ;Крабер ООО
101;Балка ШН г800;НГКШ.745418.695-01;<>;10; ;Крабер ООО
102;Блок бесперебойного питания;РИП-12 (исп.05);<>;1; ;НЕКСТ ТД
103;Блок бесперебойного питания;РИП-12 (исп.05);<>;4; ;ТИНКО ТД
104;Блок выпрямления контроля и напряжения;БВКН;<>;3; ;ПРОЭЛ НПП ООО
105;Блок детектирования света и тестирования-1 с ВОД (ОВОД-Л);БДСТ-1 с ВОД;<>;8; ;ПРОЭЛ НПП ООО
106;Блок детектирования света и тестирования-2 с ВОД (ОВОД-Л);БДСТ-2 с ВОД;<>;3; ;ПРОЭЛ НПП ООО
107;Блок детектирования света и тестирования-3 с ВОД (ОВОД-Л);БДСТ-3 с ВОД;<>;34; ;ПРОЭЛ НПП ООО
108;Блок детектирования света и тестирования-4 с ВОД (ОВОД-Л);БДСТ-4 с ВОД;<>;35; ;ПРОЭЛ НПП ООО
109;Блок дискретных входов;БДВх-2;<>;7; ;ПРОЭЛ НПП ООО
110;Блок дискретных выходов-2;БДВых-1;<>;2; ;ПРОЭЛ НПП ООО
111;Блок защиты линии;БЗЛ;<>;2; ;ТИНКО ТД
112;Блок защиты микропроцессорный релейный 6-35 кВ;БЗП-02;<>;7; ;Микропроцессорные технологии
113;Блок индикации;SCD(Блок индикации LB-1);<>;50; ;Монтажные системы НОВ.
114;Блок индикации;SCD(Блок индикации LB-1);ВЕАШ.305621.637;1; ;Возврат с производства
115;Блок индикации;SCD(Блок индикации LB-1);ВЕАШ.305621.637;550; ;Элтехника ПО АО
116;Блок комбинированных контактов положения АВ и аварийного отключения;2СО  (арт.7001203);<>;1; ;Толедо СК
117;Блок конденсаторов;БК-101;<>;15; ;Механотроника НТЦ ООО
118;Блок конденсаторов;БК-402;<>;3; ;СТРОЙЭНЕРГО ООО
119;Блок контакт сигнальный (перекидной) арт. 4671141;PS2 125-1600AF;<>;8; ;Снаб-СП
120;Блок контрольно-пусковой;С-2000 КБП;<>;7; ;ИП Малыгин А.Л.
121;Блок контрольно-пусковой;С-2000 КБП;<>;1; ;НЕКСТ ТД
122;Блок контрольно-пусковой;С-2000 КБП;<>;1; ;ТИНКО ТД
123;Блок микропроцессорный;БМРЗ-103-2-Д-СВ-01/03;<>;1; ;Механотроника НТЦ ООО
124;Блок микропроцессорный;БМРЗ-102-2-Д-КЛ-01;<>;25; ;Механотроника НТЦ ООО
125;Блок микропроцессорный;БМРЗ-51-2-3-02;<>;15; ;Механотроника НТЦ ООО
126;Блок микропроцессорный;БМРЗ-152-2-Д-ВВ-53;<>;1; ;Механотроника НТЦ ООО
127;Блок микропроцессорный;БМРЗ-101-2-Д-КЛ-01;<>;20; ;Механотроника НТЦ ООО
128;Блок микропроцессорный;БМРЗ-103-2-Д-ВВ-01/03;<>;3; ;Механотроника НТЦ ООО
129;Блок микропроцессорный;БМРЗ-152-2-Д-ВВ-02;<>;7; ;Механотроника НТЦ ООО
130;Блок микропроцессорный;БМРЗ-104-2-Д-ТН-01;<>;2; ;Механотроника НТЦ ООО
131;Блок микропроцессорный;БМРЗ-152-2-Д-М-СВ-52;<>;2; ;Механотроника НТЦ ООО
132;Блок микропроцессорный;БМРЗ-152-2-Д-М-ВВ-53;<>;7; ;Механотроника НТЦ ООО
133;Блок микропроцессорный;БМРЗ-152-2-Д-М-КЛ-53;<>;11; ;Механотроника НТЦ ООО
134;Блок микропроцессорный;БМРЗ-52-2-3-02;<>;5; ;Механотроника НТЦ ООО
135;Блок микропроцессорный;БМРЗ-152-2-Д-СВ-52;<>;1; ;Механотроника НТЦ ООО
136;Блок микропроцессорный;БМРЗ-152-2-Д-ТН-51;<>;1; ;Механотроника НТЦ ООО
137;Блок микропроцессорный;БМРЗ-152-2-Д-СВ-01;<>;2; ;Механотроника НТЦ ООО
138;Блок микропроцессорный;БМРЗ-152-2-Д-КСЗ-52;<>;16; ;Механотроника НТЦ ООО
139;Блок микропроцессорный;БМРЗ-152-2-Д-КЛ-53;<>;3; ;Механотроника НТЦ ООО
140;Блок микропроцессорный;БМРЗ-152-2-Д-ВВ-01;<>;2; ;Механотроника НТЦ ООО
141;Блок микропроцессорный;БМРЗ-152-2-Д-КЛ-01;<>;27; ;Механотроника НТЦ ООО
142;Блок микропроцессорный;БЭМП РУ-ЦС.0.220.Д2;<>;1; ;ЧЭАЗ АО
143;Блок микропроцессорный;БЭМП РУ-ЭД4.5.220.Д2;<>;6; ;ЧЭАЗ АО
144;Блок микропроцессорный;БЭМП РУ-БК.5.220.Д;<>;2; ;ЧЭАЗ АО
145;Блок ОРУ;МДБ35-95.00.00.000;<>;1; ;Крабер ООО
146;Блок ОРУ;МДБ35-147.00.00.000;<>;1; ;Крабер ООО
147;Блок ОРУ;МДБ35-51.00.00.000;<>;1; ;Крабер ООО
148;Блок ОРУ;МБ35-95.00.00.000-01;<>;1; ;Крабер ООО
149;Блок ОРУ;МБ35-95.00.00.000;<>;1; ;Крабер ООО
150;Блок ОРУ;МДБ35-95.00.00.000-01;<>;1; ;Крабер ООО
151;Блок ОРУ;МДБ35-147.00.00.000-01;<>;1; ;Крабер ООО
152;Блок ОРУ;1582.МДБ35-139.00.00.000;<>;1; ;Крабер ООО
153;Блок ОРУ;1582.МДБ35-139.00.00.000-01;<>;1; ;Крабер ООО
154;Блок ОРУ;4055.Б10-77.00.000;<>;2; ;Крабер ООО
155;Блок ОРУ;ММБ35-147.00.00.000-01;<>;1; ;Крабер ООО
156;Блок ОРУ;ММБ35-147.00.00.000;<>;1; ;Крабер ООО
157;Блок ОРУ;ММБ35-51.00.00.000;<>;1; ;Крабер ООО
158;Блок питания;WAGO 787-1702;<>;1; ;ВАГО Контакт Рус
159;Блок питания;БП(5А);<>;2; ;ПРОЭЛ НПП ООО
160;Блок питания;БП(3А);<>;1; ;ПРОЭЛ НПП ООО
161;Блок питания;Орион-БП-3;<>;34; ;РАДИУС АВТОМАТИКА АО
162;Блок питания;Орион-БП-4;<>;5; ;РАДИУС АВТОМАТИКА АО
163;Блок питания;Орион-БП-5;<>;51; ;РАДИУС АВТОМАТИКА АО
164;Блок питания;БПНТ-3;<>;3; ;СТРОЙЭНЕРГО ООО
165;Блок питания;HDR-15-24;<>;2; ;ЧИП и ДИП
166;Блок питания;БПНТ-1;<>;23; ;ЧЭАЗ АО
167;Блок питания;OptiPower DR-75-24-1;<>;1; ;Электро-Лайн ООО
168;Блок питания  12В,1.67А,20Вт, на DIN рейку;MDR-20-12;<>;1; ;МИКРО-ЧИП ООО
169;Блок питания 12В,10А,120Вт на DIN-рейку;EDR-120-12;<>;1; ;МИКРО-ЧИП ООО
